Project,Amount,Received,Interest Rate,Loan Start,Loan End,Status,Expected Interest,Interest Paid,Auto Invest,Bank Reference,Repaid Amount,Outstanding Capital,Gross APR,Net APR,Blended LTV,Loan Parts in Loan,Days to current maturity,Original maturity date,Maturity date extended,URL,Notes
Land at Hopcott Road,50,50,7%,22/09/2022,14/03/2023,Paid Back in Full,1.67,1.67,1,8627MINEHEAD,50,0,0.09,0.07,0.698,2,-645,14/03/2023,0,,
Land North Of The Brea Inn,50,50,7.30%,20/10/2022,22/09/2023,Paid Back in Full,2.98,2.98,1,9317CORNWALL,50,0,0.1,0.073,0.7,1,-453,30/08/2023,23,https://www.crowdproperty.com/projects/10130,
Land Off Upper Quarry Road,50,50,7.70%,29/09/2022,31/03/2023,Paid Back in Full,1.45,1.45,1,6478HUDDERSF,50,0,0.1,0.077,0.642,1,-628,31/03/2023,0,,
Land west of Horsbrugh Ford,50,50,10.30%,23/10/2023,13/12/2024,Live,5.897808219,0,1,10130CRADRON,0,50,10.50%,10.30%,70.00%,1,-5,23/12/2024,-10,,
Land within curtilage of West Winds,19,19,10.10%,11/12/2023,29/08/2024,Live,1.382731507,0,1,13442BLACKWO,0,19,10.50%,10.10%,65.90%,1,-111,29/08/2024,0,https://www.crowdproperty.com/projects/13442,
Lodge Farm,50,50,7.20%,31/10/2022,25/09/2023,Paid Back in Full,3.25,3.25,1,11068SOLIHUL,50,0,0.1,0.072,0.75,1,-450,30/10/2023,-35,,
Plots 1-3,50,50,7%,22/09/2022,16/06/2024,Live,6.079452055,0,1,9782CALSTOCK,0,50,10.00%,7.00%,58.40%,2,-185,16/06/2024,0,https://www.crowdproperty.com/projects/11621,
Plots 1-3,50,50,8%,20/04/2023,16/06/2024,Live,4.646575342,0,1,9785CALSTOCK,0,50,10.00%,8.00%,58.40%,2,-185,16/06/2024,0,,
Plots 32-68 and 70-71,50,50,6.90%,29/09/2022,14/03/2023,Paid Back in Full,1.58,1.58,1,10331MINEHEA,50,0,0.1,0.069,0.625,1,-645,14/03/2023,0,,
Red Lion,50,50,6.80%,03/11/2022,25/09/2024,Paid Back in Full,6.82,6.82,1,9192ATHERSTO,50,0,9.50%,6.80%,38.40%,1,-84,02/05/2024,146,,
Roseangle,50,50,7.30%,09/09/2022,08/03/2024,Live,5.42,5.4,1,6032DUNDEE,0,50,9.25%,7.30%,70.00%,2,-285,08/03/2024,0,,
Roseangle,50,50,7.30%,07/10/2022,08/03/2024,Live,5.19,0,1,7498DUNDEE,0,50,9.25%,7.30%,70.00%,2,-285,08/03/2024,0,,
Samoya,50,50,7.50%,29/09/2022,04/12/2023,Live,4.438356164,0,1,9604DUNBAR,0,50,10.00%,7.50%,69.90%,1,-380,04/12/2023,0,,
Selcroft Road,50,50,6.90%,13/10/2022,11/08/2023,Paid Back in Full,2.440000045,2.44,1,10227LONDON,50,0,0.095,0.069,0.699,1,-495,11/08/2023,0,,
Simplicity,50,50,6.40%,27/10/2022,20/02/2024,Paid Back in Full,4.58,4.58,1,9171SHOREHAM,50,0,0.085,0.064,0.477,1,-302,26/10/2023,117,https://www.crowdproperty.com/account/loans/577/pledge/632697,"The works on site have been completed, and there has been a delay in the loan repayment process. This is due to some delays at the land registry, which have been resolved recently. The developer is now working on completing the Redbook Valuation for the lender they are refinancing to."
St. Dunstans Avenue,50,50,7%,12/09/2022,10/06/2024,Paid Back in Full,6.64,6.64,1,9481LONDON,50,0,9.00%,7.00%,70.00%,2,-191,07/12/2023,186,https://www.crowdproperty.com/account/loans/603/pledge/664548,
St. Dunstans Avenue,50,50,7%,25/10/2022,10/06/2024,Paid Back in Full,6.23,6.23,1,10054LONDON,50,0,9.00%,7.00%,70.00%,2,-191,07/12/2023,186,,
Sunningdale,50,50,10.50%,12/03/2024,08/06/2025,Live,6.524657534,3.95,1,15386NORWICH,0,50,12.00%,10.50%,70.00%,1,172,08/06/2025,0,https://www.crowdproperty.com/projects/15386,
The Caledonia Pub,50,50,6.50%,14/09/2022,28/11/2023,Paid Back in Full,4.14,4.14,1,9429ASHTONU,50,0,0.09,0.065,0.7,2,-386,13/09/2023,76,https://www.crowdproperty.com/projects/10298,"Sales for 4 units expected to complete in the coming week, development of other 3 units is in final stages (inspections, building control etc.). Exploring refinance of the remainder of the loan."
The Caledonia Pub,50,50,6.50%,31/10/2022,28/11/2023,Paid Back in Full,3.73,3.73,1,10521ASHTON,50,0,0.09,0.065,0.7,2,-386,13/09/2023,76,https://www.crowdproperty.com/account/loans/590/pledge/654893,"Sale agreed to a Housing Association, but an issue with riparian rights requires update and amendment to the land registry certificate which is pending with the land registry."
The Villa,50,50,7.20%,23/09/2022,22/09/2023,Partially Repaid,3.768374518,2.04,1,10298SCARBOR,25.99,24.01,9.50%,7.20%,69.94%,2,-453,22/09/2023,0,,
The Villa,50,50,7.20%,14/10/2022,22/09/2023,Partially Repaid,3.548933206,1.92,1,10819SCARBOR,25.99,24.01,9.50%,7.20%,69.94%,2,-453,22/09/2023,0,,
Warleys Lane,50,50,6.70%,09/09/2022,08/09/2023,Live,3.378356164,3.36,1,10136WESTON-,0,50,9.50%,6.70%,70.00%,1,-467,08/09/2023,0,https://www.crowdproperty.com/account/loans/564/pledge/627111,"The borrower has received an offer from the Housing Association, however whilst undergoing due diligence the Housing Associations solicitors have identified a gap in the title which requires the borrower to purchase the adjacent piece of land in order to comply with South West Waters drainage strategy. This purchase is in legals and progressing well, once purchased they will be able to sell the site.
"
Yorkshire Coast College,50,50,7.60%,08/09/2022,10/09/2023,Live,3.831232877,0,1,8715SCARBORO,0,50,10.00%,7.60%,61.50%,1,-465,10/09/2023,0,https://www.crowdproperty.com/account/loans/566/pledge/618492,"After a thorough review of all viable options, the administrators advised that the property will be better sold now, rather than at some point in the future. They did not believe that holding on to the Property would achieve a substantially higher price in the next 12 months. 

"
